adr_term,adr_synonyms,meddra_code,adr_term_lower
Eosinophilic granulomatosis with polyangiitis,"Allergic granulomatosis | Allergic granulomatosis angiitis | Churg Strauss syndrome | Eosinophilic granulomatous vasculitis | Allergic granulomatous angiitis | Eosinophilic granulomatosis with polyangiitis | Churg-Strauss Syndrome | Churg Strauss Syndrome | Syndrome, Churg-Strauss | Allergic Granulomatous Angiitis | Allergic Granulomatous Angiitides | Angiitides, Allergic Granulomatous | Granulomatous Angiitides, Allergic | Granulomatous Angiitis, Allergic | Angiitis, Allergic Granulomatous | Vasculitis, Churg-Strauss | Churg-Strauss Vasculitis | Vasculitis, Churg Strauss | Allergic Angiitis and Granulomatosis | Allergic Granulomatosis | Allergic Granulomatoses | Granulomatoses, Allergic | Granulomatosis, Allergic | Allergic Granulomatous and Angiitis | Eosinophilic Granulomatous Vasculitis | Eosinophilic Granulomatous Vasculitides | Granulomatous Vasculitides, Eosinophilic | Granulomatous Vasculitis, Eosinophilic | Vasculitides, Eosinophilic Granulomatous | Vasculitis, Eosinophilic Granulomatous | Allergic Angiitis | Allergic Angiitides | Angiitides, Allergic | Angiitis, Allergic | Granulomatous Allergic Angiitis | Allergic Angiitides, Granulomatous | Allergic Angiitis, Granulomatous | Angiitides, Granulomatous Allergic | Angiitis, Granulomatous Allergic | Granulomatous Allergic Angiitides",10078117,eosinophilic granulomatosis with polyangiitis
Eosinophilic pleural effusion,Eosinophilic pleural effusion,10080148,eosinophilic pleural effusion
Meningitis eosinophilic,Eosinophilic meningitis | Meningitis eosinophilic | Meningitis eosionophilic,10027234,meningitis eosinophilic
White blood cell abnormal findings NEC,Not Available,10047936,white blood cell abnormal findings nec
White blood cell disorder,"Disease of white blood cells, unspecified | Diseases of white blood cells | Leukocytes abnormal (NOS) | Other specified disease of white blood cells | Unspecified disease of white blood cells | WBC abnormal | WBC abnormal NOS | White blood cell abnormalities | White blood cell disorder NOS | WBC abnormal (NOS) | White blood cell disorder",10061414,white blood cell disorder
Lymphocytic oesophagitis,Lymphocytic oesophagitis | Lymphocytic esophagitis,10078506,lymphocytic oesophagitis
Anaemias nonhaemolytic and marrow depression,Not Available,10002086,anaemias nonhaemolytic and marrow depression
Anaemia deficiencies,Not Available,10002042,anaemia deficiencies
Anaemia vitamin B12 deficiency,Anaemia B twelve deficiency | Anaemia vitamin B12 deficiency | Anemia B12 deficiency | Anemia cobalamin deficiency | B12 deficiency anemia | Other vitamin B12 deficiency anemia | Other vitamin-B12-deficiency anaemia | Anemia vitamin B12 deficiency | Anaemia cobalamin deficiency | B12 deficiency anaemia | Anaemia B12 deficiency,10002080,anaemia vitamin b12 deficiency
Iron deficiency anaemia,"Anaemia iron deficiency | Anemia iron deficiency | Iron def anaemia | Iron deficiency anaemia | Iron deficiency anaemias | Iron deficiency anemia | Iron deficiency anemia secondary to blood loss (chronic) | Iron deficiency anemia secondary to inadequate dietary iron intake | Iron deficiency anemia, unspecified | Iron deficiency anemias | Other specified iron deficiency anemias | Sideropenic anaemia | Sideropenic anemia | Iron deficiency anaemia secondary to blood loss (chronic) | Iron deficiency anaemia secondary to inadequate dietary iron intake | Iron deficiency anaemia, unspecified | Asiderotic anaemia | Asiderotic anemia | Chronic iron deficiency anemia | Chronic iron deficiency anaemia | Ferropenic anemia | Ferropenic anaemia | Anaemia from chronic blood loss | Anemia from chronic blood loss | Anemia, Iron-Deficiency | Anemia, Iron Deficiency | Iron-Deficiency Anemia | Iron Deficiency Anemia | Iron-Deficiency Anemias | Iron Deficiency Anemias | Anemias, Iron-Deficiency | Anemias, Iron Deficiency",10022972,iron deficiency anaemia
Pernicious anaemia,"Addison's anemia | Addison-Biermer anemia | Addisonian anemia | Addisonian pernicious anaemia | Anaemia pernicious | Anemia pernicious type | Pernicious anaemia | Pernicious anaemia NOS | Pernicious anemia | Addisonian pernicious anemia | Addison-Biermer anaemia | Addisonian anaemia | Addison's anaemia | Anaemia pernicious type | Anemia, Pernicious | Pernicious Anemia | Anemia, Addison's | Anemia, Addison | Anemia, Addisons | Addison's Anemia | Addison Anemia | Addisons Anemia",10034695,pernicious anaemia
Deficiency anaemia,Anaemia associated with other specified nutritional deficiency | Anemia associated with other specified nutritional deficiency | Deficiency anaemia NOS | Other deficiency anaemias | Other deficiency anemias | Unspecified deficiency anaemia | Unspecified deficiency anemia | Deficiency anemia | Deficiency anaemia | Nutritional anemia | Nutritional anaemia,10061101,deficiency anaemia
Anaemia folate deficiency,Anaemia folate deficiency | Anaemia folic acid deficiency | Anemia folate deficiency | Anemia folic acid deficiency | Folate deficiency anaemia | Folate deficiency anemia | Folate-deficiency anaemia | Folate-deficiency anemia | Macrocytic anaemia due to folate deficiency | Megaloblastic anaemia due to folate deficiency | Macrocytic anemia due to folate deficiency | Megaloblastic anemia due to folate deficiency,10002043,anaemia folate deficiency
Anaemia of pregnancy,"Anaemia complicating pregnancy, childbirth, or the puerperium | Anemia complicating pregnancy, childbirth, or the puerperium | Anemia of mother, comp preg, childbirth, or the puerp, unspec as to episode of care | Anemia of mother, comp pregnancy, childbirth, or the puerperium, unspec as to eoc | Anemia of mother, with delivery | Anemia of mother, with delivery, with mention of postpartum complication | Anemia, antepartum | Anemia, postpartum | Anaemia, antepartum | Anaemia, postpartum | Anaemia of pregnancy | Anemia of pregnancy",10066468,anaemia of pregnancy
Subacute combined cord degeneration,SACD (sub-acute combined degeneration of cord) | Subacute combined cord degeneration | Subacute combined degeneration of spinal cord in diseases classified elsewhere | Neuroanaemic syndrome | Neuroanemic syndrome,10042272,subacute combined cord degeneration
Anaemias NEC,Not Available,10002067,anaemias nec
Anaemia,"Anaemia | Anaemia aggravated | Anaemia NOS | Anaemia NOS aggravated | Anaemia, unspecified | Anaemias, other and unspecified | Anaemic | Anemia | Anemia, unspecified | Other and unspecified anaemias | Other and unspecified anemias | Other specified anaemias | Other specified anemias | Secondary anaemia | Unspecified anemia | Anemia aggravated | Secondary anemia | Unspecified anaemia | Anemic | Anaemia post chemotherapy | Anemia post chemotherapy | Acute anemia | Acute anaemia | Chronic anaemia | Chronic anemia | Dimorphic anemia | Dimorphic anaemia | Transfusion dependent anemia | Transfusion dependent anaemia | Iatrogenic anemia | Iatrogenic anaemia | Symptomatic anemia | Symptomatic anaemia | Anemias",10002034,anaemia
Anaemia macrocytic,"Anaemia macrocytic | Anemia macrocytic | Macrocytic anaemia NOS | Macrocytic anemia | Macrocytic anaemia | Anemia, Macrocytic | Anemias, Macrocytic | Macrocytic Anemia | Macrocytic Anemias",10002064,anaemia macrocytic
Anaemia megaloblastic,"Anaemia megaloblastic | Anemia megaloblastic | Megaloblastic anaemia NOS | Megaloblastic anemia | Megaloblastosis | Other specified megaloblastic anaemias, not elsewhere classified | Other specified megaloblastic anemias not elsewhere classified | Other specified megaloblastic anemias, not elsewhere classified | Megaloblastic anaemia | Anemia, Megaloblastic | Anemias, Megaloblastic | Megaloblastic Anemia | Megaloblastic Anemias",10002065,anaemia megaloblastic
Hypochromic anaemia,"Anaemia hypochromic | Anaemia- Hypochromic microcytic picture | Anemia hypochromic | Hypochromic anaemia | Hypochromic anemia | Hypochromic microcytic anaemia | Anemia- Hypochromic microcytic picture | Hypochromic microcytic anemia | Normocytic hypochromic anemia | Normocytic hypochromic anaemia | Anemia, Hypochromic | Anemias, Hypochromic | Hypochromic Anemia | Hypochromic Anemias | Chlorosis | Chloroses",10020969,hypochromic anaemia
Normochromic normocytic anaemia,Normochromic normocytic anaemia | Normochromic normocytic anemia,10029783,normochromic normocytic anaemia
Malaria,"Induced malaria | Malaria | Malaria complicating pregnancy, childbirth, or the puerperium | Malaria NOS | Malaria of mother, comp pregnancy, childbirth or the puerperium, unspec as to eoc | Malaria of mother, complicating preg, childbirth or the puerperium, unspec as to episode of care | Malaria of mother, with delivery | Malaria of mother, with delivery, with mention of postpartum complication | Malaria, antepartum | Malaria, postpartum | Malaria, unspecified | Mixed malaria | Other malaria | Other pernicious complications of malaria | Plasmodium infection | Malaria recurrent | Paludism | Antimalarial drug resistance | Uncomplicated malaria | Remittent Fever | Fever, Remittent | Plasmodium Infections | Infections, Plasmodium | Infection, Plasmodium | Plasmodium Infection | Marsh Fever | Fever, Marsh",10025487,malaria
Microcytic anaemia,Anaemia microcytic | Anemia microcytic | Microcytic anaemia | Microcytic anemia,10027538,microcytic anaemia
Sideroblastic anaemia,"Acquired sideroblastic anaemia | Anaemia achrestic | Anaemia sideroblastic | Anemia achrestic | Anemia sideroblastic | Sideroblastic anaemia | Sideroblastic anaemia NOS | Sideroblastic anemia | Acquired sideroblastic anemia | Anemia, Sideroblastic | Anemias, Sideroblastic | Sideroblastic Anemia | Sideroblastic Anemias",10040661,sideroblastic anaemia
Anaemia neonatal,Anaemia neonatal | Anaemia of prematurity | Anemia neonatal | Anemia of prematurity,10002068,anaemia neonatal
Plasmodium falciparum infection,Falciparum malaria | Falciparum malaria (malignant tertian) | P.falciparum | Plasmodium falciparum infection,10035500,plasmodium falciparum infection
Anaemia postoperative,Anaemia postoperative | Anemia postoperative,10048861,anaemia postoperative
Conjunctival pallor,Conjunctival pallor,10068819,conjunctival pallor
Anaemic hypoxia,Anaemic hypoxia | Anemic hypoxia,10051899,anaemic hypoxia
Blood loss anaemia,Acute posthaemorrhagic anaemia | Acute posthemorrhagic anemia | Haemorrhagic anaemia | Hemorrhagic anemia | Acute post haemorrhagic anaemia | Acute post hemorrhagic anemia | Blood loss anaemia | Acute blood loss anemia | Blood loss anemia | Acute blood loss anaemia,10082297,blood loss anaemia
Foetal anaemia,Foetal anaemia | Fetal anemia,10077577,foetal anaemia
Hyperchromic anaemia,Anaemia hyperchromic | Anemia hyperchromic | Hyperchromic anaemia | Hyperchromic anemia | Macrocytic hyperchromic anemia | Macrocytic hyperchromic anaemia,10020605,hyperchromic anaemia
Normochromic anaemia,Anaemia normochromic | Anemia normochromic | Normochromic anaemia | Normochromic anemia,10029782,normochromic anaemia
Normocytic anaemia,Anaemia normocytic | Anemia normocytic | Normocytic anaemia | Normocytic anemia,10029784,normocytic anaemia
Tropical sprue,"Tropical sprue | Sprue, Tropical | Tropical Sprue | Idiopathic Tropical Malabsorption Syndrome",10044697,tropical sprue
Marrow depression and hypoplastic anaemias,Not Available,10026847,marrow depression and hypoplastic anaemias
Aplasia pure red cell,"Aplasia pure red cell | Aplasia, pure red cell | Red cell aplasia | Erythroblastopenia",10002965,aplasia pure red cell
Aplastic anaemia,"Aleukia hemorrhagica | Anaemia aplastic | Anaemia aplastic aregenerative | Anemia aplastic | Anemia aplastic aregenerative | Aplastic anaemia | Aplastic anaemia, unspecified | Aplastic anemia | Aplastic anemia, unspecified | Constitutional aplastic anaemia | Constitutional aplastic anemia | Other specified aplastic anaemias | Other specified aplastic anemias | Primary idiopathic aplastic anaemia | Aregenerative anaemia | Aregenerative anemia | Primary idiopathic aplastic anemia | Aplastic anemia relapse | Aplastic anaemia relapse | Acquired aplastic anemia | Acquired aplastic anaemia | Anemia, Aplastic | Anemias, Aplastic | Aplastic Anemias | Aplastic Anemia | Anemia, Hypoplastic | Anemias, Hypoplastic | Hypoplastic Anemia | Hypoplastic Anemias",10002967,aplastic anaemia
Pancytopenia,Pancytopenia | Secondary pancytopenia | Pancytopenia aggravated | Panhematopenia | Panhaematopenia | Pancytopenias,10033661,pancytopenia
Bone marrow failure,Aplasia bone marrow | Aplastic marrow | Bone marrow aplastic | Hypocellular marrow | Hypoplasia bone marrow | Hypoplasia erythroid | Hypoplastic marrow | Marrow hypoplasia | Bone marrow hypocellular | Bone marrow failure,10065553,bone marrow failure
Hypoplastic anaemia,"Anaemia hypoplastic | Anemia hypoplastic | Hypoplastic anaemia | Hypoplastic anemia | Anaemia of central origin | Anemia of central origin | Anemia, Aplastic | Anemias, Aplastic | Aplastic Anemias | Aplastic Anemia | Anemia, Hypoplastic | Anemias, Hypoplastic | Hypoplastic Anemia | Hypoplastic Anemias",10021074,hypoplastic anaemia
Febrile bone marrow aplasia,Febrile bone marrow aplasia | Febrile aplasia,10053213,febrile bone marrow aplasia
Bicytopenia,Bicytopenia,10058956,bicytopenia
Congenital aplastic anaemia,"Fanconi's anaemia | Congenital aplastic anaemia | Congenital aplastic anemia | Fanconi's anemia | Diamond-Blackfan anaemia | Diamond-Blackfan anemia | Inherited bone marrow failure syndrome | Fanconi Anemia | Anemias, Fanconi | Fanconi Anemias | Fanconi's Anemia | Anemia, Fanconi's | Fanconi Pancytopenia | Fanconi Panmyelopathy | Anemia, Fanconi | Fanconi Hypoplastic Anemia",10053138,congenital aplastic anaemia
Cytopenia,Hypocytosis | Hematocytopenia | Haematocytopenia | Cytopenia | Prolonged cytopenia,10066274,cytopenia
Pure white cell aplasia,Pure white cell aplasia,10068043,pure white cell aplasia
Gelatinous transformation of the bone marrow,Gelatinous transformation of the bone marrow,10078097,gelatinous transformation of the bone marrow
Myelosuppression,Bone marrow depression | Bone marrow depression NOS | Depression bone marrow (NOS) | Haematopoiesis decreased | Haematopoiesis impaired | Haematopoiesis suppressed | Haemopoiesis decreased | Haemopoiesis impaired | Haemopoiesis suppressed | Hematopoiesis depressed | Hematopoiesis impaired | Hematopoiesis suppressed | Marrow depression | Marrow depression of | Myelosuppression | Myelosuppression adult | Bone marrow toxicity | Haematopoiesis depressed | Hematopoiesis decreased | Hemopoiesis decreased | Hemopoiesis impaired | Hemopoiesis suppressed | Bone marrow suppression,10028584,myelosuppression
Anaemias due to chronic disorders,Not Available,10052827,anaemias due to chronic disorders
Nephrogenic anaemia,Chronic renal failure anaemia | Chronic renal failure anemia | Nephrogenic anaemia | Renal anaemia | Nephrogenic anemia | Renal anemia | Uraemic anaemia | Uremic anemia,10058116,nephrogenic anaemia
Anaemia of chronic disease,Anaemia of chronic disease | Hypochromic anaemia of chronic disease | Anemia of chronic disease | Hypochromic anemia of chronic disease | Anaemia of chronic inflammation | Anemia of chronic inflammation,10002073,anaemia of chronic disease
Anaemia of malignant disease,Anaemia of malignant disease | Anemia of malignant disease | Cancer anaemia | Cancer anemia,10049105,anaemia of malignant disease
Haemoglobinopathies,Not Available,10018902,haemoglobinopathies
Haemoglobinopathies NEC,Not Available,10018904,haemoglobinopathies nec
Anaemia Heinz body,Anaemia Heinz body | Anemia Heinz body,10002058,anaemia heinz body
Sickle cell trait and disorders,Not Available,10040651,sickle cell trait and disorders
Sickle cell anaemia with crisis,HB-S disease with mention of crisis | Hb-SS disease with crisis | Sickle cell anaemia with crisis | Sickle cell crisis | Sickle cell anemia with crisis | Vaso-occlusive crisis,10040642,sickle cell anaemia with crisis
Sickle cell anaemia,"Anaemia sickle cell | Other sickle-cell anemia | Sickle cell anaemia | Sickle-cell anaemia | Sickle-cell anemia | Sickle-cell anemia, unspecified | Sickle cell anemia | Anemia sickle cell | Sickle-cell anaemia, unspecified | Anemia, Sickle Cell | Anemias, Sickle Cell | Sickle Cell Anemias | Hemoglobin S Disease | Disease, Hemoglobin S | Hemoglobin S Diseases | Sickle Cell Anemia | Sickle Cell Disorders | Cell Disorder, Sickle | Cell Disorders, Sickle | Sickle Cell Disorder | Sickling Disorder Due to Hemoglobin S | HbS Disease | Sickle Cell Disease | Cell Disease, Sickle | Cell Diseases, Sickle | Sickle Cell Diseases",10040641,sickle cell anaemia
Hand and foot syndrome secondary to sickle cell anaemia,Hand and foot syndrome secondary to sickle cell anaemia | Hand and foot syndrome secondary to sickle cell anemia,10048775,hand and foot syndrome secondary to sickle cell anaemia
Acute chest syndrome,"Acute chest syndrome | Acute Chest Syndrome | Acute Chest Syndromes | Syndrome, Acute Chest | Syndromes, Acute Chest",10051895,acute chest syndrome
Haematological disorders NEC,Not Available,10018849,haematological disorders nec
Haematological disorders,Not Available,10018847,haematological disorders
Methaemoglobinaemia,Acquired methaemoglobinaemia | Methaemoglobinaemia | Methaemoglobinaemia NOS | Methemoglobinemia | Acquired methemoglobinemia | Methemoglobinemias,10027496,methaemoglobinaemia
Sulphaemoglobinaemia,Sulfhaemoglobinaemia | Sulfhemoglobinemia | Sulphaemoglobinaemia | Sulphaemoglobinemia | Sulphemoglobinemia | Sulfhemoglobinemias,10042490,sulphaemoglobinaemia
