idx,se_name,se_text
230,Hypocalcaemia,"Hypocalcaemia. Also known as: Hypocalcaemia, Hypocalcemia, Hypocalcemias"
231,Hyperkinesia,"Hyperkinesia. Also known as: Hyperkinesia, Hyperkinesis, Hyperkinetic reaction"
232,Hiccups,"Hiccups. Also known as: Hiccough, Hiccup, Hiccups"
233,Hyperbilirubinaemia,"Hyperbilirubinaemia. Also known as: Aggravated bilirubinemia, Bilirubinaemia, Bilirubinaemia aggravated"
234,Amenorrhoea,"Amenorrhoea. Also known as: Absence of menstruation, Amenorrhea, Amenorrhoea"
235,Leukocytosis,"Leukocytosis. Also known as: Leucocytosis NOS, Leukocytosis, Polymorphonuclear leucocytosis"
236,Nystagmus,"Nystagmus. Also known as: Dissociated nystagmus, Latent nystagmus, Nystagmus"
237,Skin discolouration,"Skin discolouration. Also known as: Darkened skin, Decoloration skin, Discoloration skin"
238,Acne,"Acne. Also known as: Acne, Acne aggravated, Acne comedonal"
239,Cataract,"Cataract. Also known as: Bilateral cataracts, Cataract, Cataract (left)"
240,Contusion,"Contusion. Also known as: Bruise, Bruise of head, Bruising"
241,Breast disorder,"Breast disorder. Also known as: Breast disorder NOS, Other disorders of breast, Other signs and symptoms in breast"
242,Musculoskeletal pain,"Musculoskeletal pain. Also known as: Musculoskeletal pain, Shoulder blade pain, Buttock pain"
243,Thrombosis,"Thrombosis. Also known as: Clot blood, Thrombosis, Thrombosis and thrombophlebitis of unspecified site"
244,Arthropathy,"Arthropathy. Also known as: Arthropathy unspecified, involving hand, Arthropathy, Arthropathy (NOS)"
245,Hypothyroidism,"Hypothyroidism. Also known as: Acquired hypothyroidism, Acquired hypothyroidism other, Hypothyroidism"
246,Deafness,"Deafness. Also known as: Deaf, Deafness, Deafness NOS"
247,Stupor,"Stupor. Also known as: Mental torpor, Stupor, Torpor"
248,Suicide attempt,"Suicide attempt. Also known as: Attempted suicide, Suicide attempt, Suicide attempt other than overdose"
249,Hyperaesthesia,"Hyperaesthesia. Also known as: Hyperaesthesia, Hyperaesthesia skin, Hyperaesthesia symmetric of limbs"
250,Supraventricular tachycardia,"Supraventricular tachycardia. Also known as: Atrioventricular nodal reentrant tachycardia, AV nodal reentrant tachycardia, AV nodal tachycardia"
